Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Neighborhood Safety,Safe Schools,Safety (in and out of school),4,03/01/2010 08:00:00 AM +0000
Neighborhood Safety,Safe Schools,Safety of students- not enough security to ensure safe schools. Worry about child while at school,14,03/15/2010 07:00:00 AM +0000
Neighborhood Safety,Safe Schools,School Safety (need security personnel or volunteer),4,03/01/2010 08:00:00 AM +0000
Neighborhood Safety,Safe Schools,too much gang activity in schools,Hope for Youth Group A,05/03/2010 07:00:00 AM +0000
Neighborhood Safety,Safety Education,Lack of safety education.,Chinese community,04/09/2010 07:00:00 AM +0000
Neighborhood Safety,Safety Generally,Getting jacked,24,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Safety Generally,Public safety,Franklin High School,03/23/2010 07:00:00 AM +0000
Neighborhood Safety,Sex Offenders,need more/stricter laws against child molesters and sex offenders,Youth Care Group B,04/20/2010 07:00:00 AM +0000
Neighborhood Safety,Teen Prostitution,Teen prostitution prevention,10,03/22/2010 07:00:00 AM +0000
Neighborhood Safety,Transportation,"We want all safe neighborhoods in Seattle.  We want safe pedestrian access, friendly walk spaces and veggie & flower gardens.",Web,
Neighborhood Safety,Transportation,"dangerous to ride your bike in downtown Seattle, roads in bad condition, over-congestion, poor lighting",At-risk youth,04/14/2010 07:00:00 AM +0000
Neighborhood Safety,Transportation,Increase security at bus stops and light rail,Vietnamese Speaking Community,04/22/2010 07:00:00 AM +0000
Neighborhood Safety,Transportation,Safety at bus stops/ on buses,Hope for Youth Group C,05/03/2010 07:00:00 AM +0000
Neighborhood Safety,Transportation,Traffic and pedestrian safety,Roosevelt Neighborhood Assc.,03/23/2010 07:00:00 AM +0000
Neighborhood Safety,Transportation,Traffic and speeding problems in neighborhoods,View Ridge Community Council Group A,04/20/2010 07:00:00 AM +0000
Neighborhood Safety,Transportation,Unsafe public transit for kids,20,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Viaduct,construction of tunnel in replacement viaduct,The Vera Project-- Group A,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Viaduct,Viaduct seems/is dangerous,20,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Violence,Gun violence/gang problems,Central District community members,04/18/2010 07:00:00 AM +0000
Neighborhood Safety,Violence,Violence / Gun violence,11,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Violence,violence and safety including bullying and gang violence,2,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Violence,"Violence, gangs and security",5,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,"1) Skyway Casino is in residential area, which attracts crime and is a bad influence",Filipino community,04/18/2010 07:00:00 AM +0000
Race and Social Justice,Racism,Eliminate Racial Disproportionality.,1,03/01/2010 08:00:00 AM +0000
Neighborhood Safety,Violence Prevention,4. Gang/Gun Violence,Filipino community,04/11/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,Concentrate more on youth at risk for violence; youth in violence are already lost.,12,03/08/2010 08:00:00 AM +0000
Neighborhood Safety,Violence Prevention,Many drug dealers and prostitute  in the neighborhood.,Tigrinya-speaking community,04/23/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,"Safety from violence and sexual assault. Solutions include: Incorporate safety practice into curriculum and healthy relationships, healthy choices; Provide access to Building Stronger Communities.",10,03/08/2010 08:00:00 AM +0000
Neighborhood Safety,Violence Prevention,"Support to decrease gangs & youth violence, access to quality alternatives, e.g. summer camps, youth leadership classes, etc.",Seattle Central Community College Group B,05/10/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,Teen Crime/Drug Use:  -Preventing students from selling drugs inside schools. -More police out in the street and where they are needed. - Stopping gangs and influencing teens to be in gangs and use drugs. - More information on drugs. - Crime prevention programs. - Have activities that kids are interested in for kids after school. - Make sure kids have access to community centers - Spend less money on prisons and more money on schools.,1,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,The city government needs to give the Police an authority to monitor youth activities (risky stuff) so as to take preventive/corrective measures in good time. ,Oromo community,04/03/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,Too much crime in neighborhoods,Spanish speaking community,04/22/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,violence,Penny Harvest -- South Seattle,04/22/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,Violence and drug issues (nothing is being done).,El Centro de la Raza-- Jose Marti CDC,04/15/2010 07:00:00 AM +0000
Neighborhood Safety,Violence Prevention,Youth Violence Prevention,6,03/08/2010 08:00:00 AM +0000
Neighborhood Safety,Violence Prevention,Youth violence/bullying; prevention,2,02/22/2010 08:00:00 AM +0000
Neighborhood Safety,Youth Violence,Teen Violence,Students Against Violence Everywhere Group B,04/15/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Violence/ Youth violence,17,03/22/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth and gang violence and dropout rate too high,9,02/22/2010 08:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth Safety / Youth Violence,17,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth Violence,12,03/22/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth violence,18,03/22/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth violence,Franklin High School,03/23/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth Violence,Students Against Violence Everywhere Group C,04/15/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth violence in general,14,04/08/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,"Youth violence is a problem, especially youth-on-youth.",Web,
Neighborhood Safety,Youth Violence,Youth violence prevention,16,03/15/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth violence prevention,Central District community members,04/18/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,Youth violence prevention and increase civility,13,03/15/2010 07:00:00 AM +0000
Neighborhood Safety,Youth Violence,"Youth violence, especially gang violence and bullying",School's Out Washington Group A,04/15/2010 07:00:00 AM +0000
Race and Social Justice,Access,"Equal Access to Programs and Services, especially green jobs and city contract opportunities",Filipino Community,
Race and Social Justice,Accountability,Lack of leadership that reflects the diverse community- addressing institutional issues/racism- access of services for diverse groups- leadership that is accountable to the diverse community,3,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Accountability,Trust.,Tigrinya-speaking community,04/29/2010 07:00:00 AM +0000
Race and Social Justice,Cambodian Community,"We need to have Cambodian community liaison to help us with language, forms and other needs.",Khmer community,03/28/2010 07:00:00 AM +0000
Race and Social Justice,Communication ,"We need the City to have a better communication with us, and have good knowledge and understanding of our needs, culture, traditions in order to effectively attend to youth and family issues (violence, gang, illegal drugs, bad mannerism, failures in school, misunderstanding with parents, spouses conflicts, which lead into a family disintegration, and creating opportunities for the well-being of family). ",Oromo community,04/03/2010 07:00:00 AM +0000
Race and Social Justice,Community Leadership Trainings,Leadership:  Empower people in the community (protected classes); community-based grass roots leadership; leaders look like their community.,1,03/01/2010 08:00:00 AM +0000
Race and Social Justice,Criminal Justice,Get rid of civility laws/ or not target homeless youth and young adults,Homeless Youth and Young Adult Service Providers,04/13/2010 07:00:00 AM +0000
Race and Social Justice,Criminal Justice,Too many AA and people of color in the Criminal Justice System,Black Child Development Institute,04/17/2010 07:00:00 AM +0000
Race and Social Justice,Cultural Competency,Cultural Differences.,Tigrinya-speaking community,04/29/2010 07:00:00 AM +0000
Race and Social Justice,Cultural Competency,Cultural issue.,Tigrinya-speaking community,04/23/2010 07:00:00 AM +0000
Race and Social Justice,Cultural Competency,Lack of cultural competency in programming and systems.,20,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Cultural Competency,Outreach and cultural competency for refugees/immigrants,1,02/22/2010 08:00:00 AM +0000
Race and Social Justice,Cultural Competency,Too much belief in the western mind-set as the right way to see the world,18,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Discrimination,People should not be treated differently (Discrimination),,04/08/2010 07:00:00 AM +0000
Race and Social Justice,Discrimination,"Social Discrimination:  in stores, corporate offices (racism?)  In schools: social cliques/stereotypes; classism/economic status/school",23,04/08/2010 07:00:00 AM +0000
Race and Social Justice,Discrimination,"Stereotypes (by gender, class differences, special needs, etc., not just race)that lead to bullying and harassment and unequal treatment.",2,04/08/2010 07:00:00 AM +0000
Race and Social Justice,Disparities,Disparity in outcomes among ethnic groups.,11,03/01/2010 08:00:00 AM +0000
Race and Social Justice,Disparities,Socio-economic and racial disparities in education health and career opportunities,Public Health Advocates and Care Providers,05/04/2010 07:00:00 AM +0000
Race and Social Justice ,Economic Disparities,Economic Disparities,15,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Economic Disparities,Lack of jobs for black males and families,2,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Economic Disparities,Living wages,20,03/22/2010 07:00:00 AM +0000
Race and Social Justice,Economic Disparities,Not an appropriate scale (economics) for what is considered middle class.,4,03/22/2010 07:00:00 AM +0000
Race and Social Justice,Education ,Cultural segregation in classroom & geographical segregation of communities,4,03/22/2010 07:00:00 AM +0000
Race and Social Justice,Education,"Institutional Racism/Classism:   Educational Inequity, Access to external resources, parental involvement",1,02/22/2010 08:00:00 AM +0000
Race and Social Justice,Education,"Institutionalized white supremacy goes unchecked within the education system, e.g.: curriculum, assessment, special education, gifted programs, tracking, pedagogy.",WE-ACT Affinity Group,03/09/2010 08:00:00 AM +0000
Race and Social Justice,Education,Lack of cross-cultural teacher/mentors in SPS system.,SEEC Directors,03/18/2010 07:00:00 AM +0000
Race and Social Justice,Education,Racial discrimination in school,Chinese community,04/09/2010 07:00:00 AM +0000
Race and Social Justice,Education,Racism inside the classroom.,East African Girl's Circle,05/12/2010 07:00:00 AM +0000
Race and Social Justice,Education,Re-examine how race and social justice roundtable are affecting change in education,14,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Education,Segregated schools,7,04/08/2010 07:00:00 AM +0000
Race and Social Justice,Education,Students are labeled and tracked ,Next Steps Coalition -- Group B,04/15/2010 07:00:00 AM +0000
Race and Social Justice,Equity,"Disparities among Seattle residents in regards to health, education, and economics between European Americans and people of color.",School's Out Washington Group A,04/15/2010 07:00:00 AM +0000
Race and Social Justice,Equity,Outcome disparities between children of color and low income children AND dominant culture children.,Early Childhood Education Instructors,03/12/2010 08:00:00 AM +0000
Race and Social Justice,Equity,Racism/classism creates inequitable distribution of resources.,4,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Family Support, Support to the immigrant Community and homeless families,Casa Latina,05/06/2010 07:00:00 AM +0000
Race and Social Justice,Family Support,City should provide interpreters to help parents express their concerns and ideas to schools and community centers,Chinese community,04/22/2010 07:00:00 AM +0000
Race and Social Justice,Funding/Resources,Equal access to resources,1,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Ethics,Ethics Council,Native American community,04/16/2010 07:00:00 AM +0000
Race and Social Justice,Gentrification,Gentrification of AA community (lack of connections).,African American Community/Parent Coalition,04/12/2010 07:00:00 AM +0000
Race and Social Justice,Government,Appointments of Filipino Americans to Board and Commissions and to Cabinet Level Positions,Filipino Community,
Race and Social Justice,Government,Have a Native representative at City/Mayor's Office,School's Out WA,04/27/2010 07:00:00 AM +0000
Race and Social Justice,Immigrant Support,Bilingual family counselors and advocates ( Somali Speaking),Somali community,03/24/2010 07:00:00 AM +0000
Strong Neighborhoods,Housing,Lack of affordable housing,15,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Immigrant Support,Difficult & expensive to go through immigration process which is required to get work.,8,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Immigrant Support,"Lack of services for immigrants: interpreting, cultural unfamiliarity",7,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Immigrant Support,People who speak Somali in schools and community center,19,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Immigrant Support,racial tensions and stereotypes about immigration because not all immigrants are Latinos,One America,04/20/2010 07:00:00 AM +0000
Race and Social Justice,Immigrant Support,Somali cultural center,19,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Immigrant Support,Support for immigrant families for raising children in a new culture.,19,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Immigrant Support,There is a lack of support for the diverse needs of immigrant families with children.,5,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Institutional Racism,Decolonization and Undoing Internalized Oppression trainings,Native American community,04/16/2010 07:00:00 AM +0000
Race and Social Justice,Institutional Racism,End institutional racism.,14,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Institutional Racism,Eradicate Rampant Institutional racism,Somali community,03/24/2010 07:00:00 AM +0000
Race and Social Justice,Institutional Racism,Historical effects of institutionalized racism- ineffective policies and uneven allocation of resources,5,03/22/2010 07:00:00 AM +0000
Race and Social Justice,Institutional Racism,Institutional racism,Youth Undoing Institutional Racism,04/13/2010 07:00:00 AM +0000
Race and Social Justice,Institutional Racism,Systemic Racism,14,03/22/2010 07:00:00 AM +0000
Race and Social Justice,Institutional Racism,Undoing Institutionalized Racism (UIR) for all educators- people,20,03/22/2010 07:00:00 AM +0000
Race and Social Justice,Integration,racial integration,The Vera Project-- Group A,04/08/2010 07:00:00 AM +0000
Race and Social Justice,Language Barriers,Language barriers,15,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Language Barriers,No interpretation and translation services.,Khmer community,03/28/2010 07:00:00 AM +0000
Race and Social Justice,Language Barriers,There is no interpreter services available in clinic or other places. It hard for our community who don't speak English at all. ,Khmer community,03/20/2010 07:00:00 AM +0000
Race and Social Justice,Materialism,"See through the ""fog"" of materialism.",African American Males Group for the League of Education Voters,04/12/2010 07:00:00 AM +0000
Race and Social Justice,People With Disabilities,"Although Seattle professes to be a tolerant, diverse city, this sentiment does not appear to be deeply held and individuals with disabilities do not seem to be part of the “diversity” lexicon.  Real understanding of disability issues/rights and acceptance of inclusive practices is sorely lacking.  Considering the needs and rights of individuals with disabilities is often an after-thought. Need a public commitment district-wide/community-wide to inclusive practices (race, language, disabilities), More literacy about disabilities, Awareness, acceptance, pride regarding individuals with disabilities, Pride in diversity throughout the city, Public Literacy on disability law with the city taking the lead, training on disability rights, public awareness campaign, Civil Rights double-standard; need to bust myths that persons with disabilities are a privileged class, Metrics on most livable cities don’t include measures on employment, education, accessibility for persons with disabilities, Students with disabilities are not on the list of students to include in “college-readiness and college prep programs” for the city of Seattle. Achievement Gap for persons with disabilities; factoring in disabilities has to become part of the formula for determining achievement; can have different “bars” but with rigor, Some students are exited from special education services and later have community needs such as job preparation and career planning. Civil rights violations are moving beyond the school walls , into all stakeholder groups and public agencies, as there is a pervasive notion and collective thinking that children with disabilities cannot achieve, on any level!  This is similar to institutional racism only institutional bigotry.",Special Ed PTSA,05/12/2010 07:00:00 AM +0000
Race and Social Justice,Racism,Attitudes about children and families are racist and class driven,5,03/08/2010 08:00:00 AM +0000
Race and Social Justice,Racism,Deeply institutionalized racism inherent in the western worldview,18,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Racism,Discrimination and racism,El Centro de la Raza parent group,04/07/2010 07:00:00 AM +0000
Race and Social Justice,Racism,Need anti-racist filter throughout the city,8,03/15/2010 07:00:00 AM +0000
Race and Social Justice,Racism,racism,2,04/08/2010 07:00:00 AM +0000
Race and Social Justice,Racism,"Racism/other –ism issues, prejudice against Latinos and other people of color.",El Centro de la Raza-- Jose Marti CDC,04/15/2010 07:00:00 AM +0000
Race and Social Justice,Racism,Stigmatism of young people because of racism,2,02/22/2010 08:00:00 AM +0000
Race and Social Justice,Segregation,"2.)Setting up a City which is geographically segregated to feel welcome, safe and appreciative in all neighborhoods is going to be extremely difficult.  This task is especially challenging during difficult financial times where desires for equity rank lower on priority lists for the sake of self preservation and/or greed.",Web,
Race and Social Justice,Segregation,Social/racial segregation,Students Against Violence Everywhere Group A,04/15/2010 07:00:00 AM +0000
Race and Social Justice,Status Quo,Tolerance for the status quo,Northgate Library,04/26/2010 07:00:00 AM +0000
Race and Social Justice,Taxes,"3. Regressive tax system, sales tax",Young Democrats Group A,04/30/2010 07:00:00 AM +0000
Race and Social Justice,Taxes,State Income Tax,View Ridge Community Council Group B,04/20/2010 07:00:00 AM +0000
Race and Social Justice,War on Drugs,War on drugs is bias and racist,3,04/08/2010 07:00:00 AM +0000
Race and Social Justice,Youth Opportunities,Lack of opportunities for minority youth.,7,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Access,Equal access to and knowledge about available resources in the community.,16,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Access,Equal access to health and social services for all families,5,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Access,"Equity and access to education, resources and jobs.",9,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Accountability,"Community Involvement: accountability, initiate dialogue",1,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Accountability,Figure out in system what should be maintained and what should be changed,2,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Accountability,Less bureaucracy and more immediate change/results,11,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Accountability,Misappropriation of funds,SE Senior Center,04/06/2010 07:00:00 AM +0000
Strong Neighborhoods,Accountability,More data driven decision to know what works and build on that,11,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Accountability,Real follow through to public's concerns,Denise Louie Group B,04/30/2010 07:00:00 AM +0000
Strong Neighborhoods,Accountability,Resources are not effectively allocated – money spent but problem not solved.,9,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Accountability,There is no plan for the future,Northgate Library,04/26/2010 07:00:00 AM +0000
Strong Neighborhoods,Accountability,"Transparency, accountability and integration of institutions and services",13,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Advocacy,Advocacy,,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Advocacy,Advocacy Model ,Native American community,04/16/2010 07:00:00 AM +0000
Strong Neighborhoods,After School Programs,not enough after school programs K-12,"Northwest community, group B",05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,After school programs,"We want our children and families to be safe, healthy and happy. We want our children to enjoy attending school and being challenged academically. We need to provide support for our schools and families with quality childcare and before/after school programs (that are structured, enriching, supportive) so students can be successful in school. Many of our students are not prepared for school and do not see the benefit of an education. In a city with such a highly educated population, our students, especially our students of color should know the benefits of education.",Web,
Strong Neighborhoods,After school programs,YMCA programs including after-school programs,Web,
Strong Neighborhoods,Animal Abuse,Endangered and abused animals,11,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Arts Programs,"Connecting with environments through canvas -- creativity -- agriculture. 1) fewer cuts for arts programs; 2) create opportunities in the community, bring parents the school; 3) schools should be more welcoming; 4) city gardening programs.",13,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Arts Programs,"Creativity, the arts and community/cultural organizations are not recognized as strategic partners for broad community and educational change",Seattle Art Museum-- Group A,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Arts Programs,more accessible community art programs,The Vera Project-- Group A,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Arts Programs,more public art of various different kinds,The Vera Project -- Group C,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Arts Programs,Not enough resources for arts and music,The Vera Project -- Group B,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Basic Needs,"2.  Public safety is huge.  Our public school system is broken and needs repairs.  Our libraries lack funding.  There not enough opportunities for kids and families in the lowest economic ranges to find support, health care, and safe places to enjoy their lives.  Homelessness and hunger should never be an issue for children to face. Good luck.",Web,
Strong Neighborhoods,Basic Needs,"

Our challenges our job opportunities for families, violence in communities, negative outlook at educational systems, and money to provide the programs needed.",Web,
Strong Neighborhoods,Basic Needs,"2.Priority challenge is employment and health care for all, so basic needs are met and we can focus on the above.",Web,
Strong Neighborhoods,Basic Needs,"Affordable low income housing, childcare, and mental health support",15,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Basic Needs,Basic Needs,,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Basic Needs,Homelessness and hunger: Basic needs for survival must be met before educational problems can be solved. Students will not perform well if their basic survival is uncertain.,7,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Basic Needs,"Lack of resources for families - e.g. living wage jobs, career advice, affordable housing.  Inadequate money to families of color and those in poverty",Early Childhood Education Group,04/07/2010 07:00:00 AM +0000
Strong Neighborhoods,Basic Needs,Meet the basic needs of family; affordable/low-income housing; affordable/quality childcare; medical; health; food; education/ energy assistance/utilities; jobs-trainings; livable wages,4,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Basic Needs,"Safe, high-quality schools, affordable health care, meaningful job opportunities, safe neighborhoods, equity of resources and access. People don't value children or their children's future. If you tell people this, they will protest, but all one has to d",Web,
Strong Neighborhoods,Basic Needs,"Want our families to have access to stable housing and jobs, health care, and free/low cost family activities in their neighborhoods (preferably advertised in a central location for easy information access).",Web,
Strong Neighborhoods,Basic Needs,"We need lots of support for our kids who do not have resources and support at home.  Before school, after school, leadership, violence prevention, access to health care and LOTS OF MENTAL AND EMOTIONAL HEALTH support. We need quality schools and great role models AND high expectations for all students.",Web,
Strong Neighborhoods,Basic Needs,"We want all families to thrive without having to kill themselves working extra jobs and settling for mediocre childcare.  It takes a huge amount of work to just get by, even for a family with resources.  People need supports--community, parent education, ",Web,
Strong Neighborhoods,Basic Needs,"We want all families to thrive without having to kill themselves working extra jobs and settling for mediocre childcare.  It takes a huge amount of work to just get by, even for a family with resources.  People need supports--community, parent education, engaged teachers, reliable childcare--in order to thrive rather than just get by.",Web,
Strong Neighborhoods,Bike Trails,Bike trails aren't complete and are too hard to follow,Camp Ten Trees,05/04/2010 07:00:00 AM +0000
Strong Neighborhoods,Child Abuse,abused kids,Penny Harvest -- North Seattle,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Citizenship,2. Immigration- obstacles for citizenship,Filipino community,04/11/2010 07:00:00 AM +0000
Strong Neighborhoods,Civic Engagement,Lack of education in civics/government/law enforcement,Hope for Youth Group C,05/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,Collaboration between existing programs: 1) channel/filter to smaller programs through larger programs and organizations; 2) networking.,13,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Collaboration,"Different systems don’t know about each other; they haven’t always had the same goals,  i.e., institutions that focus on children in DV cases my blame the victim for abuse;  agencies work in silos",West Seattle Human Services Providers,04/07/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,"Different systems don’t know about each other; they haven’t always had the same goals,  i.e., institutions that focus on children in DV cases my blame the victim for abuse;  agencies work in silos",West Seattle Human Services Providers,04/07/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,Difficult relations between Seattle Public Schools and the City of Seattle.,Child Care Resources,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,How do we support what AA already have?,Seattle Alliance of Black School Educators,05/01/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,Idea of collaboration among agencies but really don’t collaborate in practice,Homeless Youth and Young Adult Service Providers,04/13/2010 07:00:00 AM +0000
Strong Neighborhoods,Homelessness,Homelessness,7,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,lack of opportunities for communities to work together on service and art projects,One America,04/20/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,more collaborations between organizations and people already doing the work,A+ Group A,05/06/2010 07:00:00 AM +0000
Strong Neighborhoods,Collaboration,"Need for local, community-based solutions",Northgate Library,04/26/2010 07:00:00 AM +0000
Strong Neighborhoods,Communication,Communication,Seattle Commission for People with Disabilities-- Group A,05/12/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Centers,"5.    Community centers need to expand the classes and activities they offer, and Seattle needs more community centers that can serve all communities. Community centers should also have information on city programs, etc. available in print and in the languages spoken by community members.",Young Democrats Group D,05/02/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Centers,Absence of strong community center,Amharic-speaking community,04/29/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Centers,Roosevelt needs to become more of a community center and be more accessible to outside groups,Roosevelt Neighborhood Assc.,03/23/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Centers,Unavailability of fully equipped Ethiopian community center. ,Amharic-speaking community,04/10/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Connections," livable neighborhoods, sense of community (all residents feel connected in some way or another to others in our city)",Web,
Strong Neighborhoods,Community Connections,Community safety and sense of community,,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Connections,Fear of neighbors; lack of community.,10,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Community Connections,"Frayed social fabric:   lack of healthy, ongoing relationships",1,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Community Involvement,Community engagement,3,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Community Involvement,Community engagement,4,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Community Involvement,government funded institutions offering more opportunities for community involvement (i.e. internships),The Vera Project-- Group A,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Involvement,In 2010 the parents have to juggle so much to the participate. ,Seattle Alliance of Black School Educators,05/01/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Involvement,Lack of involvement of AA families and community in ALL initiatives.,Black Child Development Institute,04/17/2010 07:00:00 AM +0000
Strong Neighborhoods,Community Involvement,Students and parents need to get connected to Building Stronger Communities.,10,03/08/2010 08:00:00 AM +0000
Strong Neighborhoods,Community Organizations,difficult environment for non-profits,The Vera Project -- Group C,04/08/2010 07:00:00 AM +0000
Strong Neighborhoods,Conflict Resolution,"Conflict Resolution: It is the tradition of Oromo society to resolve families and societal conflicts through mediation of elders. This is a very effective mechanism of maintaining harmony and peace in the family and community. However, since we are lacking conflict resolution service at our center, which enjoys the needed supports from the city, we are unable to handle manageable frictions that can be handled at the community level.",Oromo community,04/03/2010 07:00:00 AM +0000
Strong Neighborhoods,Environment,environment/global warming,Penny Harvest -- North Seattle,04/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Coordination,"2 - #1=money; keeping a continuum of services for all ages; coherent vision not only for child/family services, but for entire city and coordination between city departments to work toward that vision with little duplication of work or competing agendas",Web,
Strong Neighborhoods,Coordination,"Bridging the gap between cultural resources, schools and agencies",13,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Coordination,lack of cohesion/systematic approach by support organizations.,14,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Coordination,Lack of coordination between public and nonprofit sectors.,2,03/01/2010 08:00:00 AM +0000
Strong Neighborhoods,Coordination,"Lack of cross-sector coordination:   schools, communities, nonprofits, businesses;   silos",1,02/22/2010 08:00:00 AM +0000
Strong Neighborhoods,Coordination,Lack of investment in the coordination of services,19,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Coordination,Not enough interconnectedness and coordination among agencies/services,8,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Coordination,Partnering with community organizations to bring services into schools.,1,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Coordination,People do not know where resources are available (children and families). Communities and families are not connected.,4,03/22/2010 07:00:00 AM +0000
Strong Neighborhoods,Cost of Living,"3. Finances (tuition, living, etc…)",Filipino community,04/11/2010 07:00:00 AM +0000
Strong Neighborhoods,Cost of Living,"Expensive water bills in high point. SHA & Rainier Vista, and New Holly",19,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Cost of Living,"High water bills in High Point, New Holly",6,03/15/2010 07:00:00 AM +0000
Strong Neighborhoods,Cost of Living,Lower the cost of living in the city,Belltown Community Group C,04/28/2010 07:00:00 AM +0000
Strong Neighborhoods,Cost of Living,Necessities too expensive,7,04/08/2010 07:00:00 AM +0000
