Department,Jobtitle,Female Avg Hrly Rate,No. Female Empl,Male Avg Hrly Rate,No. Male Empl,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
Housing,Actg Tech II-BU,24.35,1,,,24.35,1,14,,No men in title
Housing,Admin Spec I-BU,22.56,3,,,22.56,3,154.67,,No men in title
Housing,Admin Spec II-BU,24.35,1,,,24.35,1,140,,No men in title
Housing,Com Dev Spec,34.13,3,36.3,1,34.67,4,33.75,94.01,
Housing,"Com Dev Spec,Sr",43.1,1,43.1,1,43.1,2,100.5,100,
Housing,Dev Fin Spec I,33.09,2,,,33.09,2,130,,No men in title
Housing,"Dev Fin Spec,Sr",37.74,2,,,37.74,2,4.5,,No men in title
Housing,Executive3,,,64.97,1,64.97,1,24,,No women in title
Housing,Fin Anlyst Supv,,,41.55,1,41.55,1,0,,No women in title
Housing,Info Technol Prof C-BU,,,39.63,1,39.63,1,77,,No women in title
Housing,Info Technol Systs Anlyst,,,33.09,1,33.09,1,8,,No women in title
Housing,"Manager2,Human Svcs",47.5,1,47.49,1,47.5,2,8,100.01,
Housing,"Manager3,Human Svcs",49.47,1,,,49.47,1,16,,No men in title
Housing,"Mgmt Systs Anlyst,Sr",43.1,1,,,43.1,1,54,,No men in title
Housing,Property Rehab Spec,,,35.34,7,35.34,7,83.57,,No women in title
Housing,"StratAdvsr1,CSPI&P",,,42.15,1,42.15,1,3,,No women in title
Housing,"StratAdvsr1,Human Svcs",41.99,1,,,41.99,1,105,,No men in title
Housing,"StratAdvsr2,PC&RM",53.38,1,,,53.38,1,12,,No men in title
Housing,"StratAdvsr3,Exempt",47.75,1,,,47.75,1,128,,No men in title
Human Services,Accountant,30.92,1,,,30.92,1,153,,No men in title
Human Services,Actg Tech I-BU,22.56,2,,,22.56,2,50,,No men in title
Human Services,Actg Tech II-BU,23.99,5,24.35,1,24.05,6,115.83,98.53,
Human Services,Actg Tech III-BU,26.79,1,,,26.79,1,54,,No men in title
Human Services,Admin Spec I-BU,22.44,13,21.76,2,22.35,15,83.13,103.11,
Human Services,Admin Spec II,24.35,3,24.35,1,24.35,4,140,100,
Human Services,Admin Spec II-BU,24.35,2,23.46,2,23.9,4,85,103.82,
Human Services,Admin Spec III-BU,26.26,1,,,26.26,1,54,,No men in title
Human Services,Admin Staff Asst,31.76,1,,,31.76,1,158,,No men in title
Human Services,Admin Support Asst-BU,19.59,3,,,19.59,3,6,,No men in title
Human Services,Admin Support Supv-BU,27.78,2,,,27.78,2,82.5,,No men in title
Human Services,"Com Dev Spec,Sr",,,43.1,1,43.1,1,151,,No women in title
Human Services,Counslr,29.37,78,30.38,13,29.52,91,71.3,96.68,
Human Services,Early Ed Spec,33.89,6,34.32,1,33.95,7,55.14,98.76,
Human Services,"Early Ed Spec,Sr",36.28,2,,,36.28,2,42.5,,No men in title
Human Services,"Exec Asst,Sr",,,41.55,1,41.55,1,26,,No women in title
Human Services,Executive1,47.75,1,54.43,1,51.09,2,14.5,87.72,
Human Services,Executive2,60.44,1,,,60.44,1,23,,No men in title
Human Services,Executive3,70.51,1,,,70.51,1,33,,No men in title
Human Services,Fair Hearing Coord,,,33.6,1,33.6,1,55,,No women in title
Human Services,Fin Anlyst,32.87,3,,,32.87,3,19,,No men in title
Human Services,"Fin Anlyst,Asst",28.84,2,,,28.84,2,150,,No men in title
Human Services,"Fin Anlyst,Sr",39.66,5,39.96,1,39.71,6,58.67,99.26,
Human Services,"Grants&Contracts Spec,Sr",32.38,24,33.09,6,32.52,30,120.47,97.85,
Human Services,Human Svcs Coord,29.99,5,,,29.99,5,152,,No men in title
Human Services,Human Svcs Prgm Supv,35.85,3,,,35.85,3,64.33,,No men in title
Human Services,"Human Svcs Prgm Supv,Sr",37.25,5,37.82,4,37.5,9,60.78,98.48,
Human Services,Info Technol Prof C-BU,42.21,2,42.8,4,42.6,6,119.83,98.62,
Human Services,Info Technol Spec,31.16,2,31.76,1,31.36,3,73.33,98.1,
Human Services,Info Technol Systs Anlyst,,,38.48,2,38.48,2,49.5,,No women in title
Human Services,Info Technol Techl Support,25.77,1,,,25.77,1,70,,No men in title
Human Services,Labor Standards Tech,,,29.99,1,29.99,1,103,,No women in title
Human Services,Labor Standards Tech Supv,33.69,1,,,33.69,1,67,,No men in title
Human Services,"Manager1,Human Svcs",38.55,2,39.82,2,39.19,4,29.25,96.79,
Human Services,"Manager2,Fin,Bud,&Actg",44.53,1,,,44.53,1,17,,No men in title
Human Services,"Manager2,Human Svcs",43.15,5,45.35,1,43.52,6,77.83,95.16,
Human Services,"Manager2,Info Technol",44.29,1,,,44.29,1,28,,No men in title
Human Services,"Manager3,Exempt",49.43,2,,,49.43,2,6,,No men in title
Human Services,"Manager3,Human Svcs",49.1,1,,,49.1,1,9,,No men in title
Human Services,Mgmt Systs Anlyst,32.43,2,36.3,1,33.72,3,21.67,89.33,
Human Services,"Mgmt Systs Anlyst,Sr",,,43.1,1,43.1,1,72,,No women in title
Human Services,Personnel Spec,31.27,2,,,31.27,2,32.5,,No men in title
Human Services,"Personnel Spec,Asst",,,26.79,1,26.79,1,57,,No women in title
Human Services,"Personnel Spec,Sr",34.13,3,,,34.13,3,25,,No men in title
Human Services,Plng&Dev Spec I,32.46,2,,,32.46,2,26.5,,No men in title
Human Services,Plng&Dev Spec II,37.28,13,37.7,1,37.31,14,71.57,,
Human Services,"Plng&Dev Spec,Sr",41.56,3,,,41.56,3,66,,No men in title
Human Services,"Plng&Dev Spec,Supvsng",46.41,1,46.41,1,46.41,2,28,100,
Human Services,Prgm Intake Rep,26.34,13,26.42,5,26.37,18,85.94,99.69,
Human Services,"Prgm Intake Rep,Sr",28.84,1,,,28.84,1,16,,No men in title
Human Services,Prjt Fund&Agreemts Coord,35.62,2,36.3,1,35.85,3,174.33,98.13,
Human Services,"Prjt Fund&Agreemts Coord,Sr",,,39.96,1,39.96,1,56,,No women in title
Human Services,Registered Nurse Consultant,36.3,4,36.3,1,36.3,5,48.4,100,
Human Services,Social Svcs Aide,19.53,6,19.97,3,19.67,9,12.89,97.8,
Human Services,"StratAdvsr1,CSPI&P",,,44.63,1,44.63,1,75,,No women in title
Human Services,"StratAdvsr1,Human Svcs",42.9,1,37.36,1,40.13,2,28.5,114.82,
Human Services,"StratAdvsr2,Human Svcs",43.92,4,,,43.92,4,58,,No men in title
Human Services,Trng&Ed Coord,33.69,1,33.69,1,33.69,2,108.5,100,
Human Services,Util Astnce Supv,33.69,1,,,33.69,1,12,,No men in title
Human Services,Volunteer Prgms Coord,29.99,1,,,29.99,1,143,,No men in title
Immigrant & Refugee Affairs,Admin Staff Asst,,,27.25,1,27.25,1,3,,No women in title
Immigrant & Refugee Affairs,"StratAdvsr1,Exempt",34.94,1,,,34.94,1,8,,
Immigrant & Refugee Affairs,"StratAdvsr2,Exempt",,,47.49,1,47.49,1,11,,No women in title
Information Technology Dept,Accountant,30.92,2,,,30.92,2,50,,No men in title
Information Technology Dept,"Accountant,Prin",38.48,2,,,38.48,2,27,,No men in title
Information Technology Dept,Actg Tech II-BU,24.35,1,24.35,1,24.35,2,22,100,
Information Technology Dept,Admin Spec I-BU,22.56,1,,,22.56,1,245,,No men in title
Information Technology Dept,Admin Spec II-BU,24.35,1,,,24.35,1,219,,No men in title
Information Technology Dept,Admin Staff Anlyst,,,32.39,1,32.39,1,17,,No women in title
Information Technology Dept,"Exec Asst,Sr",44.74,1,,,44.74,1,61,,No men in title
Information Technology Dept,Executive1,61.41,1,,,61.41,1,56,,No men in title
Information Technology Dept,Executive2,61.9,4,,,61.9,4,57.75,,No men in title
Information Technology Dept,Executive3,,,64.66,1,64.66,1,3,,No women in title
Information Technology Dept,Executive4,71.24,1,,,71.24,1,4,,No men in title
Information Technology Dept,Fin Anlyst,34.59,3,,,34.59,3,50.67,,No men in title
Information Technology Dept,"Fin Anlyst,Sr",39.96,2,,,39.96,2,104,,No men in title
Information Technology Dept,"Info Technol Prof A,Exempt",53.82,3,55.98,18,55.67,21,99.48,96.14,
Information Technology Dept,Info Technol Prof B,49.26,10,47.65,39,47.98,49,105.49,103.39,
Information Technology Dept,Info Technol Prof C,41.95,4,40.36,22,40.6,26,92.81,103.96,
Information Technology Dept,Info Technol Systs Anlyst,36.82,5,38.09,15,37.77,20,93.7,96.67,
Information Technology Dept,"Manager2,CSPI&P",,,42.81,1,42.81,1,18,,No women in title
Information Technology Dept,"Manager2,Exempt",46.27,1,54.49,1,50.38,2,99,84.91,
Information Technology Dept,"Manager2,Fin,Bud,&Actg",,,55.57,1,55.57,1,124,,No women in title
Information Technology Dept,"Manager2,Info Technol",48.93,2,,,48.93,2,90,,No men in title
Information Technology Dept,"Manager3,Exempt",,,55.4,1,55.4,1,21,,No women in title
Information Technology Dept,"Manager3,Info Technol",54.9,1,59.84,1,57.37,2,106,91.74,
Information Technology Dept,Mgmt Systs Anlyst,36.3,2,33.28,3,34.49,5,66.4,109.06,
Information Technology Dept,"Mgmt Systs Anlyst,Asst",31.76,2,,,31.76,2,120,,No men in title
Information Technology Dept,"Mgmt Systs Anlyst,Sr",38.48,1,43.1,1,40.79,2,44,89.28,
Information Technology Dept,Personnel Spec,28.84,1,,,28.84,1,2,,No men in title
Information Technology Dept,"Personnel Spec,Sr",36.3,1,,,36.3,1,148,,No men in title
Information Technology Dept,Publc Relations Supv,39.2,1,,,39.2,1,58,,No men in title
Information Technology Dept,"StratAdvsr1,CSPI&P",39.1,3,,,39.1,3,72,,No men in title
Information Technology Dept,"StratAdvsr1,Info Technol",45.22,1,,,45.22,1,19,,No men in title
Information Technology Dept,"StratAdvsr2,Exempt",42.95,2,48.9,1,44.93,3,25.67,,
Information Technology Dept,"StratAdvsr2,General Govt",51.53,1,49.35,1,50.44,2,119,104.41,
Information Technology Dept,"StratAdvsr2,Info Technol",47.52,1,49.89,1,48.71,2,2.5,95.25,
Information Technology Dept,"StratAdvsr3,Exempt",57.41,1,56.72,3,56.9,4,41.25,101.22,
Information Technology Dept,"StratAdvsr3,Info Technol",53.96,1,,,53.96,1,45,,No men in title
Information Technology Dept,Supply&Inventory Tech,25.28,1,,,25.28,1,154,,No men in title
Information Technology Dept,Telecom Syst Installer,,,32.52,1,32.52,1,53,,No women in title
Information Technology Dept,"Telecom Syst Installer,Sr",,,36.57,2,36.57,2,73,,No women in title
Information Technology Dept,Video Spec II,36.3,2,35.26,5,35.55,7,87.29,102.96,
Intergovernmental Relations,Admin Staff Asst,,,30.55,1,30.55,1,30,,No women in title
Intergovernmental Relations,Executive2,52.68,1,,,52.68,1,24,,
Intergovernmental Relations,Executive3,,,62.95,1,62.95,1,40,,No women in title
Intergovernmental Relations,"StratAdvsr2,Exempt",42.79,3,39.93,2,41.65,5,31.4,107.15,
Intergovernmental Relations,"StratAdvsr3,Exempt",,,52.3,2,52.3,2,40,,No women in title
Law Department,Actg Tech I,22.56,1,,,22.56,1,156,,No men in title
Law Department,Actg Tech III,26.79,1,,,26.79,1,97,,No men in title
Law Department,Admin Spec I,22.16,8,21.76,2,22.08,10,63.8,101.84,
Law Department,Admin Spec II,24.35,2,,,24.35,2,35,,No men in title
Law Department,Admin Spec III,26.26,2,26.26,1,26.26,3,187,100,
Law Department,Admin Staff Anlyst,33.69,1,,,33.69,1,24,,No men in title
Law Department,Administrator-Law,48.11,1,,,48.11,1,28,,No men in title
Law Department,"City Attorney,Asst",49.2,36,55.11,28,51.79,64,67.16,89.27,
Law Department,"City Attorney,Asst-BU",36.72,17,41.8,10,38.6,27,25.7,87.83,
Law Department,"Fin Anlyst,Sr",,,39.96,1,39.96,1,86,,No women in title
Law Department,"Info Technol Prof B,Exempt",,,50.81,1,50.81,1,89,,No women in title
Law Department,Info Technol Systs Anlyst,38.48,1,33.71,2,35.3,3,26.33,114.17,
Law Department,Legal Asst,25.14,12,,,25.14,12,112.5,,No men in title
Law Department,"Manager1,Exempt",,,34.55,1,34.55,1,15,,No women in title
Law Department,Paralegal,30.62,12,30.62,3,30.62,15,76.07,99.99,
Law Department,Paralegal Asst II,26.45,3,26.79,1,26.53,4,146.5,98.73,
Law Department,Personnel Spec,33.69,1,,,33.69,1,213,,No men in title
Law Department,Special Asst-Law,43.1,1,,,43.1,1,40,,No men in title
Law Department,"StratAdvsr1,Exempt",43.16,1,,,43.16,1,37,,No men in title
Law Department,Victim Advocate,30.55,8,,,30.55,8,210.88,,No men in title
Law Department,Victim Advocate Supv,36.3,1,,,36.3,1,6,,No men in title
Legislative-City Council,Actg Tech III,26.79,1,,,26.79,1,15,,No men in title
Legislative-City Council,Admin Spec II,24.35,3,,,24.35,3,54,,No men in title
Legislative-City Council,Admin Staff Anlyst,31.16,1,,,31.16,1,2,,No men in title
Legislative-City Council,Admin Staff Asst,30.59,2,,,30.59,2,42.5,,No men in title
Legislative-City Council,"City Archivist,Asst",38.48,3,,,38.48,3,98,,No men in title
Legislative-City Council,City Records Mgmt Anlyst,36.3,1,32.39,1,34.35,2,25,112.07,
Legislative-City Council,Council Clerk,31.76,2,,,31.76,2,39,,No men in title
Legislative-City Council,Exec Manager-Legislative,63.87,1,64.7,1,64.28,2,59.5,98.71,
Legislative-City Council,Legislative Asst,32.95,13,33.16,14,33.06,27,63.41,99.39,
Legislative-City Council,Legislative Info Anlyst,,,36.3,1,36.3,1,42,,No women in title
Legislative-City Council,Legislative Info Spec I,22.96,1,22.96,1,22.96,2,42,100,
Legislative-City Council,Legislative Info Spec II,29.41,1,,,29.41,1,42,,No men in title
Legislative-City Council,Legislative Info Supv,36.3,1,,,36.3,1,42,,No men in title
Legislative-City Council,"Mgmt Systs Anlyst,Sr",38.48,1,,,38.48,1,2,,No men in title
Legislative-City Council,OPA Review Board Member,5.11,2,5.11,3,5.11,5,25.8,100,
Legislative-City Council,StratAdvsr-Legislative,49.03,10,47.99,13,48.44,23,100.3,102.17,
Mayor's Office,Executive2,,,61.84,1,61.84,1,40,,No women in title
Mayor's Office,Executive3,61.84,1,61.84,2,61.84,3,40,100,
Mayor's Office,Mayoral Staff Asst 1,22.73,1,22.74,2,22.74,3,5.33,99.93,
Mayor's Office,Mayoral Staff Asst 2,30.07,8,28.6,3,29.67,11,37.45,105.14,
Mayor's Office,"StratAdvsr1,Exempt",35.25,1,34.12,1,34.69,2,22.5,103.32,
Mayor's Office,"StratAdvsr2,Exempt",43.64,7,44.07,1,43.69,8,20,99.02,
Mayor's Office,"StratAdvsr3,Exempt",59.37,1,58.95,1,59.16,2,21.5,100.72,
Municipal Court,Accountant,,,27.61,1,27.61,1,8,,No women in title
Municipal Court,Actg Tech II-MC,24.35,2,,,24.35,2,199.5,,No men in title
Municipal Court,Admin Spec III,25.31,2,,,25.31,2,28.5,,No men in title
Municipal Court,Admin Spec III-MC,26.26,1,,,26.26,1,72,,No men in title
Municipal Court,Admin Spec II-MC,24.35,28,24.35,2,24.35,30,129.17,100,
Municipal Court,Admin Spec I-MC,22.56,16,22.56,3,22.56,19,141.53,,
Municipal Court,Admin Staff Anlyst,36.3,1,,,36.3,1,55,,No men in title
Municipal Court,Admin Support Asst-MC,,,20.61,2,20.61,2,219.5,,No women in title
Municipal Court,Admin Support Supv-MC,27.78,4,27.78,1,27.78,5,127,100,
Municipal Court,Bailiff,25.77,7,24.77,1,25.65,8,123.25,104.04,
Municipal Court,"Bailiff,Chief",29.41,1,,,29.41,1,79,,No men in title
Municipal Court,Court Cashier,24.66,7,24.55,5,24.62,12,112.17,100.43,
Municipal Court,Court Cashier Supv,27.04,1,27.04,1,27.04,2,142.5,100,
Municipal Court,Court Clerk,25.04,20,25.32,1,25.06,21,91.76,98.91,
Municipal Court,Court Clerk Supv,26.8,3,,,26.8,3,28,,No men in title
Municipal Court,Court Interpreter Coord,39.2,1,,,39.2,1,70,,No men in title
Municipal Court,"Exec Asst,Sr",,,44.74,1,44.74,1,71,,No women in title
Municipal Court,Executive1,,,55.02,2,55.02,2,100.5,,No women in title
Municipal Court,Executive2,53.66,1,,,53.66,1,34,,No men in title
Municipal Court,Executive3,72.66,1,,,72.66,1,163,,No men in title
Municipal Court,Fin Anlyst,36.3,1,,,36.3,1,70,,No men in title
Municipal Court,Info Technol Prof B-BU,47.4,1,48.07,8,48,9,72.67,98.62,
Municipal Court,Info Technol Prof C-BU,,,37,1,37,1,2,,No women in title
Municipal Court,Info Technol Spec,31.76,1,,,31.76,1,14,,No men in title
Municipal Court,Magistrate,52.25,2,51.27,4,51.6,6,118.83,101.91,
Municipal Court,"Manager1,CL&PS",47.3,1,47.3,1,47.3,2,74,100,
Municipal Court,"Manager1,Fin,Bud,&Actg",45.31,1,,,45.31,1,118,,No men in title
Municipal Court,"Manager2,CL&PS",45.03,2,47.28,1,45.78,3,139,95.25,
Municipal Court,"Manager2,Exempt",45.45,1,43.25,1,44.35,2,14,105.09,
Municipal Court,"Manager2,Fin,Bud,&Actg",,,45.11,1,45.11,1,1,,No women in title
Municipal Court,"Manager3,Exempt",,,61.05,1,61.05,1,63,,No women in title
Municipal Court,Mgmt Systs Anlyst,36.3,1,,,36.3,1,55,,No men in title
Municipal Court,Muni Court Marshal,,,30.24,9,30.24,9,83.11,,No women in title
Municipal Court,"Muni Court Marshal,Sr",35.39,1,,,35.39,1,16,,No men in title
Municipal Court,Muni Judge,64.48,3,64.48,4,64.48,7,132.29,100,
Municipal Court,Personnel Spec,33.69,1,,,33.69,1,55,,No men in title
Municipal Court,"Personnel Spec,Asst",26.79,1,,,26.79,1,82,,No men in title
Municipal Court,"Personnel Spec,Sr",36.3,1,,,36.3,1,84,,No men in title
Municipal Court,Prob Counslr I,36.07,8,35.07,6,35.64,14,119.86,102.85,
Municipal Court,Prob Counslr II,39.36,3,38.76,7,38.94,10,64.6,101.54,
Municipal Court,Prob Counslr II-NR,39.36,1,,,39.36,1,63,,No men in title
Municipal Court,Prob Counslr-Asg Pers Recog,34.23,5,34.99,3,34.52,8,137,97.83,
Municipal Court,Prob Supv,44.83,1,,,44.83,1,71,,No men in title
Municipal Court,Res&Eval Asst,29.41,1,,,29.41,1,112,,No men in title
Municipal Court,"StratAdvsr1,Exempt",35.27,1,40.22,1,37.75,2,30.5,87.7,
Municipal Court,"StratAdvsr2,Exempt",,,45.81,1,45.81,1,34,,No women in title
Municipal Court,"StratAdvsr3,Exempt",,,58.05,1,58.05,1,12,,No women in title
Neighborhoods Department,Actg Tech II-BU,24.35,1,,,24.35,1,13,,No men in title
Neighborhoods Department,Actg Tech III,26.79,1,,,26.79,1,13,,No men in title
Neighborhoods Department,Admin Spec II-BU,23.9,4,21.77,1,23.48,5,52.2,109.8,
Neighborhoods Department,Admin Staff Anlyst,36.3,1,,,36.3,1,61,,No men in title
Neighborhoods Department,Admin Staff Asst,31.46,4,,,31.46,4,62.25,,No men in title
Neighborhoods Department,Com Dev Spec,36.3,3,36.3,1,36.3,4,102.25,100,
Neighborhoods Department,"Com Dev Spec,Sr",42.05,3,,,42.05,3,55.33,,No men in title
Neighborhoods Department,Com Garden Coord,32.39,5,32.39,1,32.39,6,105.5,100,
Neighborhoods Department,Exec Asst,39.96,1,,,39.96,1,21,,No men in title
Neighborhoods Department,Executive1,,,61.42,1,61.42,1,4,,No women in title
Neighborhoods Department,Executive2,71.42,1,,,71.42,1,98,,No men in title
Neighborhoods Department,Executive3,64.44,1,,,64.44,1,21,,No men in title
Neighborhoods Department,"Fin Anlyst,Asst",24.77,1,,,24.77,1,2,,No men in title
Neighborhoods Department,"Fin Anlyst,Sr",39.96,1,,,39.96,1,79,,No men in title
Neighborhoods Department,"Grants&Contracts Spec,Sr",33.09,2,28.35,1,31.51,3,6.33,116.72,
Neighborhoods Department,Info Technol Prof C-BU,31.5,1,,,31.5,1,1,,No men in title
Neighborhoods Department,"Manager2,Exempt",,,44.19,1,44.19,1,4,,No women in title
Neighborhoods Department,"Manager2,Fin,Bud,&Actg",51.68,1,,,51.68,1,94,,No men in title
Neighborhoods Department,"Manager2,General Govt",53.37,1,,,53.37,1,66,,No men in title
Neighborhoods Department,Neighb District Coord,37.7,3,37.7,6,37.7,9,107.78,100,
Neighborhoods Department,Ofc Asst-BU,17.99,1,,,17.99,1,99,,No men in title
Neighborhoods Department,Plng&Dev Spec II,37.7,3,37.7,2,37.7,5,220.2,100,
Neighborhoods Department,"Plng&Dev Spec,Sr",,,43.1,1,43.1,1,259,,No women in title
Neighborhoods Department,"Plng&Dev Spec,Supvsng",44.74,1,,,44.74,1,7,,No men in title
Neighborhoods Department,"StratAdvsr1,CSPI&P",51.18,1,,,51.18,1,47,,No men in title
Neighborhoods Department,"StratAdvsr1,Exempt",36.85,1,,,36.85,1,6,,No men in title
Neighborhoods Department,"StratAdvsr2,Exempt",54.62,2,42.05,1,50.43,3,35.67,129.89,
Neighborhoods Department,"StratAdvsr2,Human Svcs",48.99,2,,,48.99,2,18,,No men in title
Neighborhoods Department,"StratAdvsr3,Exempt",61.04,1,,,61.04,1,48,,No men in title
Office for Civil Rights,Admin Spec I-BU,22.56,2,22.56,1,22.56,3,115.33,100,
Office for Civil Rights,Civil Rights Anlyst,31.19,4,33.56,1,31.67,5,32.2,92.95,
Office for Civil Rights,"Civil Rights Anlyst,Sr",36.3,2,36.33,1,36.31,3,50.33,99.92,
Office for Civil Rights,Executive2,54.02,1,,,54.02,1,61,,No men in title
Office for Civil Rights,Info Technol Systs Anlyst,,,38.48,1,38.48,1,98,,No women in title
Office for Civil Rights,"Manager1,General Govt",38.32,1,,,38.32,1,60,,No men in title
Office for Civil Rights,"Manager2,Exempt",,,38.32,1,38.32,1,16,,No women in title
Office for Civil Rights,Plng&Dev Spec I,34.94,2,,,34.94,2,93,,No men in title
Office for Civil Rights,Plng&Dev Spec II,37.7,2,36.3,1,37.23,3,81,103.86,
Office for Civil Rights,"Plng&Dev Spec,Supvsng",44.74,1,,,44.74,1,28,,No men in title
Office for Civil Rights,"Publc Relations Spec,Sr",,,36.3,1,36.3,1,148,,No women in title
Office for Civil Rights,"StratAdvsr3,Exempt",,,43.86,1,43.86,1,61,,No women in title
Office of Economic Development,Admin Spec II-BU,21.77,1,,,21.77,1,3,,No men in title
Office of Economic Development,Admin Staff Asst,29.41,1,27.25,1,28.33,2,7.5,107.93,
Office of Economic Development,"Com Dev Spec,Sr",43.1,1,43.1,1,43.1,2,68.5,100,
Office of Economic Development,Exec Asst,41.55,1,,,41.55,1,40,,No men in title
Office of Economic Development,Executive3,,,56.95,1,56.95,1,32,,No women in title
Office of Economic Development,"Fin Anlyst,Asst",,,28.84,1,28.84,1,12,,No women in title
Office of Economic Development,"Fin Anlyst,Sr",38.48,1,,,38.48,1,16,,No men in title
Office of Economic Development,"Manager1,Parks&Rec",,,39.25,1,39.25,1,5,,No women in title
Office of Economic Development,Plng&Dev Spec I,34.94,1,,,34.94,1,40,,No men in title
Office of Economic Development,"StratAdvsr1,Exempt",,,40.71,1,40.71,1,40,,No women in title
Office of Economic Development,"StratAdvsr1,General Govt",,,44.17,1,44.17,1,59,,No women in title
Office of Economic Development,"StratAdvsr2,Exempt",49,1,,,49,1,90,,No men in title
Office of Economic Development,"StratAdvsr2,Fin,Bud,&Actg",47.06,1,,,47.06,1,9,,No men in title
Office of Economic Development,"StratAdvsr2,General Govt",50.1,1,48.41,4,48.75,5,61,103.49,
Office of Economic Development,"StratAdvsr3,Exempt",54.65,1,49.78,1,52.22,2,58,109.78,
Office of Economic Development,"StratAdvsr3,General Govt",,,54.16,1,54.16,1,70,,No women in title
Office of Sustainability & Env,Exec Asst,43.1,1,,,43.1,1,56,,No men in title
Office of Sustainability & Env,Executive2,56.79,1,,,56.79,1,35,,No men in title
Office of Sustainability & Env,"Manager2,Engrng&Plans Rev",51,1,,,51,1,51,,No men in title
Office of Sustainability & Env,"Manager2,Exempt",,,49.72,1,49.72,1,29,,No women in title
Office of Sustainability & Env,"Plng&Dev Spec,Sr",,,40.79,2,40.79,2,38,,No women in title
Office of Sustainability & Env,"StratAdvsr1,Exempt",,,43.08,1,43.08,1,12,,No women in title
Office of Sustainability & Env,"StratAdvsr1,General Govt",39.16,1,,,39.16,1,40,,No men in title
Office of Sustainability & Env,"StratAdvsr2,Exempt",44.43,3,,,44.43,3,24.67,,No men in title
Office of Sustainability & Env,"StratAdvsr2,General Govt",48.23,3,,,48.23,3,75.67,,No men in title
Office of Sustainability & Env,"StratAdvsr3,Exempt",50.75,1,,,50.75,1,5,,No men in title
Parks Department,Accountant,30.92,2,30.92,1,30.92,3,103.67,100,
Parks Department,"Accountant,Prin",39.96,2,35.57,1,38.5,3,66.33,112.34,
Parks Department,"Accountant,Sr",34.32,1,,,34.32,1,9,,No men in title
Parks Department,Actg Tech II-BU,24.35,5,24.35,1,24.35,6,118.83,100,
Parks Department,Actg Tech III-BU,26.79,5,,,26.79,5,136.6,,No men in title
Parks Department,Admin Spec I,22.56,1,,,22.56,1,381,,No men in title
Parks Department,Admin Spec I-BU,22.56,6,22.56,1,22.56,7,173.71,100,
Parks Department,Admin Spec II-BU,24.35,5,24.35,2,24.35,7,92,100,
Parks Department,Admin Spec III-BU,25.3,3,,,25.3,3,33,,No men in title
Parks Department,Admin Staff Anlyst,36.3,4,36.3,1,36.3,5,101.4,100,
Parks Department,Admin Staff Asst,31.76,3,31.76,1,31.76,4,136.25,100,
Parks Department,Admin Support Asst-BU,20.61,3,20.61,1,20.61,4,101.75,100,
Parks Department,Aquarium Biologist 1,23.88,2,23.88,1,23.88,3,60.67,100,
Parks Department,Aquarium Biologist 2,26.26,5,26.26,3,26.26,8,77.5,100,
Parks Department,Aquarium Biologist 3,,,31.16,3,31.16,3,83.33,,No women in title
Parks Department,Aquarium Laboratory Spec,26.26,1,,,26.26,1,124,,No men in title
Parks Department,"Aquarium Systs Op,Chief",,,37.7,1,37.7,1,268,,No women in title
Parks Department,Aquatic Cntr Coord,32.52,7,32.52,2,32.52,9,133.89,100,
Parks Department,"Aquatic Cntr Coord,Asst",28.75,4,29.17,3,28.93,7,77.29,98.56,
Parks Department,Arboriculturist,33.09,1,,,33.09,1,67,,No men in title
Parks Department,Arborist,,,44.74,1,44.74,1,146,,No women in title
Parks Department,"Architect,Sr",,,44.74,1,44.74,1,49,,No women in title
Parks Department,Capital Prjts Coord,,,41.56,1,41.56,1,60,,No women in title
Parks Department,"Capital Prjts Coord,Sr",47.56,2,47.56,5,47.56,7,117.43,100,
Parks Department,Carpenter,30.28,1,30.28,4,30.28,5,171.2,100,
Parks Department,Carpenter CC,,,34.75,1,34.75,1,90,,No women in title
Parks Department,"Carpenter,Sr",31.57,1,31.57,2,31.57,3,150,100,
Parks Department,Cashier,16.62,12,16.6,5,16.61,17,88,100.12,
Parks Department,"Cashier,Sr",19.38,3,18.74,1,19.22,4,76,103.42,
Parks Department,Cement Finisher-Parks Facils,,,30.28,2,30.28,2,105,,No women in title
Parks Department,"Civil Engr,Sr",,,50.69,1,50.69,1,165,,No women in title
Parks Department,"Civil Engrng Spec,Assoc",38.56,1,38.56,1,38.56,2,155,100,
Parks Department,"Civil Engrng Spec,Sr",40.36,1,43.47,2,42.43,3,77.67,92.85,
Parks Department,Constr&Maint Equip Op,,,30.49,3,30.49,3,135.67,,No women in title
Parks Department,"Constr&Maint Equip Op,Sr",,,32.01,1,32.01,1,5,,No women in title
Parks Department,Constr&Repair CC,,,33.38,3,33.38,3,161,,No women in title
Parks Department,Contracts&Concss Asst,,,29.99,1,29.99,1,111,,No women in title
Parks Department,Counslr,30.55,2,30.55,1,30.55,3,105,100,
Parks Department,Drainage&Wstwtr Coll CC,,,36.72,1,36.72,1,15,,No women in title
Parks Department,Drainage&Wstwtr Coll Lead Wkr,,,30.91,1,30.91,1,128,,No women in title
